[I][90120][09-06][15:41:35:552][global_config.cpp:527][bolepack][communication]open config file[fillbackconfig/communication.json] success.
[I][90120][09-06][15:41:35:553][inner_type.cpp:63][bolepack][communication]127.0.0.1 , is a loopback iface
[I][90120][09-06][15:41:35:553][inner_type.cpp:111][bolepack][communication]find multicast networks:
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]10.64.38.79
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]2.0.1.1
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]2.0.2.1
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]2.0.0.1
[I][90120][09-06][15:41:35:593][dds_discovery.cpp:56][bolepack][communication]DDSDiscovery::init dis_topic is DiscoveryTopic
[I][90120][09-06][15:41:36:747][zmq_data_writer_impl.cpp:91][bolepack][communication]zmq option[id=1] as below:
ZMQ_SNDHWM=50
ZMQ_RCVHWM=50
ZMQ_LINGER=10
ZMQ_SNDBUF=52428800
ZMQ_RCVBUF=52428800
ZMQ_RATE=1048576
ZMQ_SNDTIMEO=0
ZMQ_RCVTIMEO=1000
ZMQ_RECOVERY_IVL=0
ZMQ_IMMEDIATE=0
ZMQ_HEARTBEAT_IVL=0
ZMQ_IMMEDIATE=0
ZMQ_HEART_BEAT_IVAL=0
ZMQ_HEART_BEAT_TIMEOUT=0;
[I][90120][09-06][15:41:36:949][zmq_data_writer_impl.cpp:263][bolepack][communication]zmq writer init done
[I][108336][09-06][15:41:36:949][zmq_data_writer_impl.cpp:338][bolepack][communication]zmq writer MonitorSocket start
[I][108336][09-06][15:41:36:949][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 2
[I][90120][09-06][15:41:37:088][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 132
[I][90120][09-06][15:41:37:151][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 165
[I][90120][09-06][15:41:37:218][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 198
[I][90120][09-06][15:41:37:275][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 264
[I][90120][09-06][15:41:37:322][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 297
[I][90120][09-06][15:41:37:372][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 330
[I][90120][09-06][15:41:37:419][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 363
[I][90120][09-06][15:41:37:467][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 396
[I][90120][09-06][15:41:37:523][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 429
[I][90120][09-06][15:41:37:572][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 462
[I][90120][09-06][15:41:37:624][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 495
[I][90120][09-06][15:41:37:678][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 528
[I][90120][09-06][15:41:37:734][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 561
[I][90120][09-06][15:41:37:791][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 594
[I][90120][09-06][15:41:37:842][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 627
